City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,yerbogachen,61.2767,108.0108,-15.17,96,100,2.8,RU,1676647073
327,chuy,-33.6971,-53.4616,18.57,26,67,10.67,UY,1676647074
328,atar,20.5169,-13.0499,32.49,12,0,0.15,MR,1676647074
329,havelock,34.8791,-76.9013,23.32,86,40,8.75,US,1676647074
330,sfantu gheorghe,45.8667,25.7833,4.04,98,51,1.39,RO,1676647074
331,sakassou,7.4546,-5.2926,36.91,10,3,2.67,CI,1676647074
332,beipiao,41.7919,120.7792,-1.57,77,20,0.52,CN,1676646884
333,teodoro sampaio,-22.5325,-52.1675,19.67,95,100,2.88,BR,1676647075
334,georgetown,5.4112,100.3354,28.86,79,20,2.06,MY,1676647075
335,la ronge,55.1001,-105.2842,-14.86,72,75,7.2,CA,1676647075
336,valley city,46.9233,-98.0032,-13.71,92,0,11.32,US,1676647076
337,dzhebariki-khaya,62.2167,135.8,-33.63,99,94,0.44,RU,1676647077
338,alamogordo,32.8995,-105.9603,-0.12,59,0,2.57,US,1676647077
339,inverell,-29.7833,151.1167,20.64,79,1,0.45,AU,1676647077
340,wanning,18.8003,110.3967,21.08,85,87,4.11,CN,1676647077
341,nanortalik,60.1432,-45.2371,0.19,75,100,11.04,GL,1676647078
342,simao,22.7886,100.9748,13.68,79,100,0.89,CN,1676647025
343,kochi,9.9399,76.2602,26.99,73,42,1.61,IN,1676647079
344,dongying,37.4564,118.4856,6.74,56,100,3.56,CN,1676647079
345,brisbane,-27.4679,153.0281,22.84,84,75,1.54,AU,1676647079
346,bambanglipuro,-7.95,110.2833,25.31,87,100,2.42,ID,1676647080
347,vestmanna,62.1564,-7.1664,3.51,65,20,8.75,FO,1676647081
348,belaya gora,68.5333,146.4167,-42.71,100,60,0.76,RU,1676647081
349,burnie,-41.0667,145.9167,16.64,77,100,4.79,AU,1676647081
350,namuac,18.6109,121.1657,21.48,88,92,5.86,PH,1676647082
351,tromso,69.6496,18.957,0.01,69,20,3.09,NO,1676647082
352,pochinok,54.4068,32.4407,-5.95,89,100,5.78,RU,1676646793
353,tuy hoa,13.0833,109.3,22.41,90,100,3.78,VN,1676646995
354,moree,-29.4667,149.85,25.9,40,0,5.41,AU,1676647082
355,hamilton,39.1834,-84.5333,-0.04,74,100,7.72,US,1676646818
356,omsukchan,62.5333,155.8,-35.38,98,100,2.2,RU,1676647083
357,jalu,29.0331,21.5482,16.94,34,10,4.47,LY,1676647084
358,san isidro,-12.1167,-77.05,25.77,73,20,2.57,PE,1676647085
359,palauig,15.435,119.9045,24.64,71,66,1.62,PH,1676647085
360,almaznyy,48.0448,40.045,-5.79,89,97,1.77,RU,1676647085
361,durg,21.1833,81.2833,25.1,26,0,2.96,IN,1676647085
362,pulandian,39.3953,121.9669,1.37,84,82,1.56,CN,1676647086
363,haines junction,60.7522,-137.5108,-22.03,77,100,0.51,CA,1676647086
364,maryborough,-25.5333,152.7,20.33,85,98,1.57,AU,1676647086
365,kirakira,-10.4544,161.9205,25.9,85,88,2.05,SB,1676647086
